Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN18,gain,GNAL
cnaPANCAN18,gain,IMPA2
cnaPANCAN18,gain,L3MBTL4
cnaPANCAN18,gain,LAMA1
cnaPANCAN18,gain,LDLRAD4
cnaPANCAN18,gain,LPIN2
cnaPANCAN18,gain,LRRC30
cnaPANCAN18,gain,MC2R
cnaPANCAN18,gain,MC5R
cnaPANCAN18,gain,METTL4
cnaPANCAN18,gain,MPPE1
cnaPANCAN18,gain,MYL12A
cnaPANCAN18,gain,MYL12B
cnaPANCAN18,gain,MYOM1
cnaPANCAN18,gain,NAPG
cnaPANCAN18,gain,NDC80
cnaPANCAN18,gain,NDUFV2
cnaPANCAN18,gain,PIEZO2
cnaPANCAN18,gain,POTEC
cnaPANCAN18,gain,PPP4R1
cnaPANCAN18,gain,PSMG2
cnaPANCAN18,gain,PTPN2
cnaPANCAN18,gain,PTPRM
cnaPANCAN18,gain,RAB12
cnaPANCAN18,gain,RAB31
cnaPANCAN18,gain,RALBP1
cnaPANCAN18,gain,RNMT
cnaPANCAN18,gain,SEH1L
cnaPANCAN18,gain,SLMO1
cnaPANCAN18,gain,SMCHD1
cnaPANCAN18,gain,SOGA2
cnaPANCAN18,gain,SPIRE1
cnaPANCAN18,gain,TGIF1
cnaPANCAN18,gain,TMEM200C
cnaPANCAN18,gain,TUBB6
cnaPANCAN18,gain,TWSG1
cnaPANCAN18,gain,TXNDC2
cnaPANCAN18,gain,TYMS
cnaPANCAN18,gain,VAPA
cnaPANCAN18,gain,YES1
cnaPANCAN18,gain,ZBTB14
cnaPANCAN18,gain,ZNF519
cnaPANCAN19,gain,ABHD3
cnaPANCAN19,gain,ANKRD29
cnaPANCAN19,gain,AQP4
cnaPANCAN19,gain,C18orf8
cnaPANCAN19,gain,CABLES1
cnaPANCAN19,gain,CABYR
cnaPANCAN19,gain,CHST9
cnaPANCAN19,gain,CTAGE1
cnaPANCAN19,gain,ESCO1
cnaPANCAN19,gain,GATA6
cnaPANCAN19,gain,GREB1L
cnaPANCAN19,gain,HRH4
cnaPANCAN19,gain,IMPACT
cnaPANCAN19,gain,KCTD1
cnaPANCAN19,gain,LAMA3
cnaPANCAN19,gain,MIB1
cnaPANCAN19,gain,NPC1
cnaPANCAN19,gain,OSBPL1A
cnaPANCAN19,gain,PSMA8
cnaPANCAN19,gain,RBBP8
cnaPANCAN19,gain,RIOK3
cnaPANCAN19,gain,ROCK1
cnaPANCAN19,gain,RP11-595B24.2
cnaPANCAN19,gain,SNRPD1
cnaPANCAN19,gain,SS18
cnaPANCAN19,gain,TAF4B
cnaPANCAN19,gain,TMEM241
cnaPANCAN19,gain,TTC39C
cnaPANCAN19,gain,ZNF521
cnaPANCAN20,loss,ADCYAP1
cnaPANCAN20,loss,AFG3L2
cnaPANCAN20,loss,ANKRD12
cnaPANCAN20,loss,ANKRD62
cnaPANCAN20,loss,APCDD1
cnaPANCAN20,loss,ARHGAP28
cnaPANCAN20,loss,C18orf42
cnaPANCAN20,loss,C18orf56
cnaPANCAN20,loss,C18orf64
cnaPANCAN20,loss,CETN1
cnaPANCAN20,loss,CHMP1B
cnaPANCAN20,loss,CIDEA
cnaPANCAN20,loss,CLUL1
cnaPANCAN20,loss,COLEC12
cnaPANCAN20,loss,DLGAP1
cnaPANCAN20,loss,EMILIN2
cnaPANCAN20,loss,ENOSF1
cnaPANCAN20,loss,EPB41L3
cnaPANCAN20,loss,GNAL
cnaPANCAN20,loss,IMPA2
cnaPANCAN20,loss,L3MBTL4
cnaPANCAN20,loss,LAMA1
cnaPANCAN20,loss,LPIN2
cnaPANCAN20,loss,LRRC30
cnaPANCAN20,loss,METTL4
cnaPANCAN20,loss,MPPE1
cnaPANCAN20,loss,MYL12A
cnaPANCAN20,loss,MYL12B
cnaPANCAN20,loss,MYOM1
cnaPANCAN20,loss,NAPG
cnaPANCAN20,loss,NDC80
cnaPANCAN20,loss,NDUFV2
cnaPANCAN20,loss,PIEZO2
cnaPANCAN20,loss,PPP4R1
cnaPANCAN20,loss,PTPRM
cnaPANCAN20,loss,RAB12
cnaPANCAN20,loss,RAB31
cnaPANCAN20,loss,RALBP1
cnaPANCAN20,loss,SLMO1
cnaPANCAN20,loss,SMCHD1
cnaPANCAN20,loss,SOGA2
cnaPANCAN20,loss,SPIRE1
cnaPANCAN20,loss,TGIF1
cnaPANCAN20,loss,TMEM200C
cnaPANCAN20,loss,TUBB6
cnaPANCAN20,loss,TWSG1
cnaPANCAN20,loss,TXNDC2
cnaPANCAN20,loss,TYMS
cnaPANCAN20,loss,VAPA
cnaPANCAN20,loss,YES1
cnaPANCAN20,loss,ZBTB14
cnaPANCAN21,loss,MC2R
cnaPANCAN21,loss,MC5R
cnaPANCAN21,loss,POTEC
cnaPANCAN21,loss,RNMT
cnaPANCAN21,loss,ZNF519
cnaPANCAN22,loss,MRO
cnaPANCAN23,loss,ELAC1
cnaPANCAN23,loss,RP11-729L2.2
cnaPANCAN23,loss,SMAD4
cnaPANCAN24,loss,ATP8B1
cnaPANCAN25,loss,HMSD
cnaPANCAN25,loss,SERPINB8
cnaPANCAN26,loss,ATP9B
cnaPANCAN26,loss,C18orf63
cnaPANCAN26,loss,CBLN2
cnaPANCAN26,loss,CCDC102B
cnaPANCAN26,loss,CD226
cnaPANCAN26,loss,CDH19
cnaPANCAN26,loss,CDH7
cnaPANCAN26,loss,CNDP1
cnaPANCAN26,loss,CNDP2
cnaPANCAN26,loss,CYB5A
cnaPANCAN26,loss,DOK6
cnaPANCAN26,loss,DSEL
cnaPANCAN26,loss,FAM69C
cnaPANCAN26,loss,FBXO15
cnaPANCAN26,loss,GALR1
cnaPANCAN26,loss,GTSCR1
cnaPANCAN26,loss,LINC00908
cnaPANCAN26,loss,MBP
cnaPANCAN26,loss,NETO1
cnaPANCAN26,loss,RP11-162A12.2
cnaPANCAN26,loss,RP11-169F17.1
cnaPANCAN26,loss,RP11-17M16.1
cnaPANCAN26,loss,RP11-321M21.3
cnaPANCAN26,loss,RP11-41O4.1
cnaPANCAN26,loss,RP11-723G8.2
cnaPANCAN26,loss,RP11-861L17.3
cnaPANCAN26,loss,RP11-94B19.4
cnaPANCAN26,loss,RTTN
cnaPANCAN26,loss,SALL3
cnaPANCAN26,loss,SMIM21
cnaPANCAN26,loss,SOCS6
cnaPANCAN26,loss,TIMM21
cnaPANCAN26,loss,TMX3
cnaPANCAN26,loss,TSHZ1
cnaPANCAN26,loss,ZADH2
cnaPANCAN26,loss,ZNF236
cnaPANCAN26,loss,ZNF407
cnaPANCAN26,loss,ZNF516
cnaPANCAN27,gain,ACBD7
cnaPANCAN27,gain,ADARB2
cnaPANCAN27,gain,AKR1C1
cnaPANCAN27,gain,AKR1C2
cnaPANCAN27,gain,AKR1C3
cnaPANCAN27,gain,AKR1C4
cnaPANCAN27,gain,AKR1CL1
cnaPANCAN27,gain,AKR1E2
cnaPANCAN27,gain,ANKRD16
cnaPANCAN27,gain,ARL5B
cnaPANCAN27,gain,ASB13
cnaPANCAN27,gain,ATP5C1
cnaPANCAN27,gain,BEND7
cnaPANCAN27,gain,C10orf111
cnaPANCAN27,gain,C1QL3
cnaPANCAN27,gain,CACNB2
cnaPANCAN27,gain,CALML3
cnaPANCAN27,gain,CALML5
cnaPANCAN27,gain,CAMK1D
cnaPANCAN27,gain,CCDC3
cnaPANCAN27,gain,CDC123
cnaPANCAN27,gain,CDNF
cnaPANCAN27,gain,CELF2
cnaPANCAN27,gain,CUBN
cnaPANCAN27,gain,DCLRE1C
cnaPANCAN27,gain,DHTKD1
cnaPANCAN27,gain,DIP2C
cnaPANCAN27,gain,ECHDC3
cnaPANCAN27,gain,FAM107B
cnaPANCAN27,gain,FAM171A1
cnaPANCAN27,gain,FAM188A
cnaPANCAN27,gain,FAM208B
cnaPANCAN27,gain,FBXO18
cnaPANCAN27,gain,FRMD4A
cnaPANCAN27,gain,GATA3
cnaPANCAN27,gain,GDI2
cnaPANCAN27,gain,GTPBP4
cnaPANCAN27,gain,HSPA14
cnaPANCAN27,gain,IDI1
cnaPANCAN27,gain,IDI2
cnaPANCAN27,gain,IL15RA
cnaPANCAN27,gain,IL2RA
cnaPANCAN27,gain,ITGA8
cnaPANCAN27,gain,ITIH2
cnaPANCAN27,gain,ITIH5
cnaPANCAN27,gain,KIN
cnaPANCAN27,gain,KLF6
cnaPANCAN27,gain,LARP4B
cnaPANCAN27,gain,MCM10
cnaPANCAN27,gain,MEIG1
cnaPANCAN27,gain,MRC1
cnaPANCAN27,gain,MRC1L1
cnaPANCAN27,gain,NET1
cnaPANCAN27,gain,NMT2
cnaPANCAN27,gain,NSUN6
cnaPANCAN27,gain,NUDT5
cnaPANCAN27,gain,OLAH
cnaPANCAN27,gain,OPTN
cnaPANCAN27,gain,PFKFB3
cnaPANCAN27,gain,PFKP
cnaPANCAN27,gain,PHYH
cnaPANCAN27,gain,PITRM1
cnaPANCAN27,gain,PRKCQ
cnaPANCAN27,gain,PROSER2
cnaPANCAN27,gain,PRPF18
cnaPANCAN27,gain,PRR26
cnaPANCAN27,gain,PTER
cnaPANCAN27,gain,PTPLA
cnaPANCAN27,gain,RBM17
cnaPANCAN27,gain,RP11-139J15.7
cnaPANCAN27,gain,RP11-295P9.3
cnaPANCAN27,gain,RPP38
cnaPANCAN27,gain,RSU1
cnaPANCAN27,gain,SEC61A2
cnaPANCAN27,gain,SEPHS1
cnaPANCAN27,gain,SFMBT2
cnaPANCAN27,gain,SLC39A12
cnaPANCAN27,gain,ST8SIA6
cnaPANCAN27,gain,STAM
cnaPANCAN27,gain,SUV39H2
cnaPANCAN27,gain,TAF3
cnaPANCAN27,gain,TMEM236
cnaPANCAN27,gain,TMEM236
cnaPANCAN27,gain,TRDMT1
cnaPANCAN27,gain,TUBAL3
cnaPANCAN27,gain,UCMA
cnaPANCAN27,gain,UCN3
cnaPANCAN27,gain,UPF2
cnaPANCAN27,gain,USP6NL
cnaPANCAN27,gain,VIM
cnaPANCAN27,gain,WDR37
cnaPANCAN28,gain,ABI1
cnaPANCAN28,gain,ACBD5
cnaPANCAN28,gain,ANKRD26
cnaPANCAN28,gain,ANKRD30A
cnaPANCAN28,gain,APBB1IP
cnaPANCAN28,gain,ARHGAP12
cnaPANCAN28,gain,ARMC4
cnaPANCAN28,gain,BAMBI
cnaPANCAN28,gain,C10orf126
cnaPANCAN28,gain,C10ORF68
cnaPANCAN28,gain,CCDC7
cnaPANCAN28,gain,CCNY
cnaPANCAN28,gain,CREM
cnaPANCAN28,gain,CUL2
cnaPANCAN28,gain,EPC1
cnaPANCAN28,gain,FZD8
cnaPANCAN28,gain,GAD2
cnaPANCAN28,gain,GJD4
cnaPANCAN28,gain,ITGB1
cnaPANCAN28,gain,KIAA1462
cnaPANCAN28,gain,KIF5B
cnaPANCAN28,gain,LYZL1
cnaPANCAN28,gain,LYZL2
cnaPANCAN28,gain,MAP3K8
cnaPANCAN28,gain,MASTL
cnaPANCAN28,gain,MKX
cnaPANCAN28,gain,MPP7
cnaPANCAN28,gain,MTPAP
cnaPANCAN28,gain,MTRNR2L7
cnaPANCAN28,gain,NAMPTL
cnaPANCAN28,gain,NRP1
cnaPANCAN28,gain,PARD3
cnaPANCAN28,gain,PDSS1
cnaPANCAN28,gain,PTCHD3
cnaPANCAN28,gain,RAB18
cnaPANCAN28,gain,SVIL
cnaPANCAN28,gain,WAC
cnaPANCAN28,gain,YME1L1
cnaPANCAN28,gain,ZEB1
cnaPANCAN28,gain,ZNF248
cnaPANCAN28,gain,ZNF25
cnaPANCAN28,gain,ZNF33A
cnaPANCAN28,gain,ZNF37A
cnaPANCAN28,gain,ZNF438
cnaPANCAN29,gain,ADK
cnaPANCAN29,gain,AGAP5
cnaPANCAN29,gain,ANAPC16
cnaPANCAN29,gain,ANXA11
cnaPANCAN29,gain,ANXA7
cnaPANCAN29,gain,AP3M1
cnaPANCAN29,gain,ASCC1
cnaPANCAN29,gain,C10orf105
cnaPANCAN29,gain,C10orf11
cnaPANCAN29,gain,C10orf54
cnaPANCAN29,gain,C10orf55
cnaPANCAN29,gain,CAMK2G
cnaPANCAN29,gain,CDH23
cnaPANCAN29,gain,CHCHD1
cnaPANCAN29,gain,CHST3
cnaPANCAN29,gain,COMTD1
cnaPANCAN29,gain,DDIT4
cnaPANCAN29,gain,DLG5
cnaPANCAN29,gain,DNAJB12
cnaPANCAN29,gain,DNAJC9
cnaPANCAN29,gain,DUPD1
cnaPANCAN29,gain,DUSP13
cnaPANCAN29,gain,DYDC1
cnaPANCAN29,gain,DYDC2
cnaPANCAN29,gain,ECD
cnaPANCAN29,gain,EIF5AL1
cnaPANCAN29,gain,FAM149B1
cnaPANCAN29,gain,FAM213A
cnaPANCAN29,gain,FUT11
cnaPANCAN29,gain,KAT6B
cnaPANCAN29,gain,KCNMA1
cnaPANCAN29,gain,MAT1A
cnaPANCAN29,gain,MCU
cnaPANCAN29,gain,MICU1
cnaPANCAN29,gain,MRPS16
cnaPANCAN29,gain,MSS51
cnaPANCAN29,gain,MYOZ1
cnaPANCAN29,gain,NDST2
cnaPANCAN29,gain,NUDT13
cnaPANCAN29,gain,NUTM2B
cnaPANCAN29,gain,NUTM2E
cnaPANCAN29,gain,OIT3
cnaPANCAN29,gain,P4HA1
cnaPANCAN29,gain,PLA2G12B
cnaPANCAN29,gain,PLAC9
cnaPANCAN29,gain,PLAU
cnaPANCAN29,gain,POLR3A
cnaPANCAN29,gain,PPIF
cnaPANCAN29,gain,PPP3CB
cnaPANCAN29,gain,PSAP
cnaPANCAN29,gain,RP11-574K11.31
cnaPANCAN29,gain,RPS24
cnaPANCAN29,gain,SAMD8
cnaPANCAN29,gain,SEC24C
cnaPANCAN29,gain,SFTPA1
cnaPANCAN29,gain,SFTPA2
cnaPANCAN29,gain,SFTPD
cnaPANCAN29,gain,SH2D4B
cnaPANCAN29,gain,SPOCK2
cnaPANCAN29,gain,SYNPO2L
cnaPANCAN29,gain,TMEM254
cnaPANCAN29,gain,TSPAN14
cnaPANCAN29,gain,TTC18
cnaPANCAN29,gain,USP54
cnaPANCAN29,gain,VCL
cnaPANCAN29,gain,VDAC2
cnaPANCAN29,gain,ZCCHC24
cnaPANCAN29,gain,ZMIZ1
cnaPANCAN29,gain,ZNF503
cnaPANCAN29,gain,ZSWIM8
cnaPANCAN30,loss,ADARB2
cnaPANCAN30,loss,DIP2C
cnaPANCAN30,loss,GTPBP4
cnaPANCAN30,loss,IDI1
cnaPANCAN30,loss,IDI2
cnaPANCAN30,loss,LARP4B
cnaPANCAN30,loss,PRR26
cnaPANCAN30,loss,WDR37
cnaPANCAN31,loss,CAMK1D
cnaPANCAN32,loss,RSU1
cnaPANCAN33,loss,ARMC3
cnaPANCAN34,loss,MYO3A
cnaPANCAN35,loss,ANKRD30A
cnaPANCAN35,loss,CCNY
cnaPANCAN35,loss,CREM
cnaPANCAN35,loss,CUL2
cnaPANCAN35,loss,FZD8
cnaPANCAN35,loss,GJD4
cnaPANCAN35,loss,MTRNR2L7
cnaPANCAN35,loss,NAMPTL
cnaPANCAN35,loss,PARD3
cnaPANCAN35,loss,ZNF248
cnaPANCAN35,loss,ZNF25
cnaPANCAN35,loss,ZNF33A
cnaPANCAN35,loss,ZNF37A
cnaPANCAN36,loss,RET
cnaPANCAN37,loss,ARHGAP22
cnaPANCAN38,loss,ERCC6
cnaPANCAN38,loss,ERCC6-PGBD3
cnaPANCAN38,loss,PGBD3
cnaPANCAN39,loss,CHAT
cnaPANCAN40,loss,PRKG1
cnaPANCAN41,loss,ZWINT
cnaPANCAN42,loss,ANK3
cnaPANCAN43,loss,SPOCK2
cnaPANCAN44,loss,ACTA2
cnaPANCAN44,loss,ADIRF
cnaPANCAN44,loss,ANKRD1
cnaPANCAN44,loss,ANKRD22
cnaPANCAN44,loss,ATAD1
cnaPANCAN44,loss,BMPR1A
cnaPANCAN44,loss,BTAF1
cnaPANCAN44,loss,CH25H
cnaPANCAN44,loss,CPEB3
cnaPANCAN44,loss,FAM25A
cnaPANCAN44,loss,FAM35A
cnaPANCAN44,loss,FAS
cnaPANCAN44,loss,FGFBP3
cnaPANCAN44,loss,GLUD1
cnaPANCAN44,loss,GRID1
cnaPANCAN44,loss,HECTD2
cnaPANCAN44,loss,HTR7
cnaPANCAN44,loss,IDE
cnaPANCAN44,loss,IFIT1
cnaPANCAN44,loss,IFIT1B
cnaPANCAN44,loss,IFIT2
cnaPANCAN44,loss,IFIT3
cnaPANCAN44,loss,IFIT5
cnaPANCAN44,loss,KIF20B
cnaPANCAN44,loss,KLLN
cnaPANCAN44,loss,LDB3
cnaPANCAN44,loss,LIPA
cnaPANCAN44,loss,LIPF
cnaPANCAN44,loss,LIPJ
cnaPANCAN44,loss,LIPK
cnaPANCAN44,loss,LIPM
cnaPANCAN44,loss,LIPN
cnaPANCAN44,loss,MARCH5
cnaPANCAN44,loss,MINPP1
cnaPANCAN44,loss,MMRN2
cnaPANCAN44,loss,NUTM2A
cnaPANCAN44,loss,NUTM2D
cnaPANCAN44,loss,OPN4
cnaPANCAN44,loss,PANK1
cnaPANCAN44,loss,PAPSS2
cnaPANCAN44,loss,PCGF5
cnaPANCAN44,loss,PPP1R3C
cnaPANCAN44,loss,PTEN
cnaPANCAN44,loss,RNLS
cnaPANCAN44,loss,RPP30
cnaPANCAN44,loss,SLC16A12
cnaPANCAN44,loss,SNCG
cnaPANCAN44,loss,STAMBPL1
cnaPANCAN44,loss,TNKS2
cnaPANCAN44,loss,WAPAL
cnaPANCAN45,loss,PDE6C
cnaPANCAN46,loss,ARHGAP19-SLIT1
cnaPANCAN46,loss,SLIT1
cnaPANCAN47,loss,LOXL4
cnaPANCAN48,loss,GOT1
cnaPANCAN49,loss,TECTB
cnaPANCAN50,loss,VTI1A
cnaPANCAN51,loss,GFRA1
cnaPANCAN52,loss,PTPRE
cnaPANCAN53,loss,DPYSL4
cnaPANCAN53,loss,STK32C
cnaPANCAN54,loss,ADAM8
cnaPANCAN54,loss,KNDC1
cnaPANCAN54,loss,UTF1
cnaPANCAN54,loss,VENTX
cnaPANCAN55,loss,PAOX
cnaPANCAN56,gain,IGF2
cnaPANCAN56,gain,INS
cnaPANCAN56,gain,INS-IGF2
cnaPANCAN56,gain,TH
cnaPANCAN57,gain,APIP
cnaPANCAN57,gain,CAT
cnaPANCAN57,gain,CD44
cnaPANCAN57,gain,EHF
cnaPANCAN57,gain,ELF5
cnaPANCAN57,gain,FJX1
cnaPANCAN57,gain,LDLRAD3
cnaPANCAN57,gain,PAMR1
cnaPANCAN57,gain,PDHX
cnaPANCAN57,gain,SLC1A2
cnaPANCAN57,gain,TRIM44
cnaPANCAN58,gain,CARNS1
cnaPANCAN58,gain,CLCF1
cnaPANCAN58,gain,POLD4
cnaPANCAN58,gain,PPP1CA
cnaPANCAN58,gain,PTPRCAP
cnaPANCAN58,gain,RAD9A
cnaPANCAN58,gain,RPS6KB2
cnaPANCAN58,gain,TBC1D10C
cnaPANCAN59,gain,ANO1
cnaPANCAN59,gain,CCND1
cnaPANCAN59,gain,CPT1A
cnaPANCAN59,gain,CTTN
cnaPANCAN59,gain,DHCR7
cnaPANCAN59,gain,FADD
cnaPANCAN59,gain,FGF19
cnaPANCAN59,gain,FGF3
cnaPANCAN59,gain,FGF4
cnaPANCAN59,gain,GAL
cnaPANCAN59,gain,IGHMBP2
cnaPANCAN59,gain,KRTAP5-10
cnaPANCAN59,gain,KRTAP5-11
cnaPANCAN59,gain,KRTAP5-7
cnaPANCAN59,gain,KRTAP5-8
cnaPANCAN59,gain,KRTAP5-9
cnaPANCAN59,gain,MRGPRD
cnaPANCAN59,gain,MRGPRF
cnaPANCAN59,gain,MRPL21
cnaPANCAN59,gain,MTL5
cnaPANCAN59,gain,MYEOV
cnaPANCAN59,gain,NADSYN1
cnaPANCAN59,gain,ORAOV1
cnaPANCAN59,gain,PPFIA1
cnaPANCAN59,gain,PPP6R3
cnaPANCAN59,gain,SHANK2
cnaPANCAN59,gain,TPCN2
cnaPANCAN60,gain,AAMDC
cnaPANCAN60,gain,ACER3
cnaPANCAN60,gain,ALG8
cnaPANCAN60,gain,AQP11
cnaPANCAN60,gain,B3GNT6
cnaPANCAN60,gain,C11orf30
cnaPANCAN60,gain,CAPN5
cnaPANCAN60,gain,CLNS1A
cnaPANCAN60,gain,DGAT2
cnaPANCAN60,gain,GAB2
cnaPANCAN60,gain,GDPD4
cnaPANCAN60,gain,INTS4
cnaPANCAN60,gain,KCTD14
cnaPANCAN60,gain,KCTD21
cnaPANCAN60,gain,LRRC32
cnaPANCAN60,gain,MAP6
cnaPANCAN60,gain,MOGAT2
cnaPANCAN60,gain,MYO7A
cnaPANCAN60,gain,NARS2
cnaPANCAN60,gain,NDUFC2
cnaPANCAN60,gain,NDUFC2-KCTD14
cnaPANCAN60,gain,OMP
cnaPANCAN60,gain,PAK1
cnaPANCAN60,gain,PRKRIR
cnaPANCAN60,gain,RP11-111M22.2
cnaPANCAN60,gain,RSF1
cnaPANCAN60,gain,TENM4
cnaPANCAN60,gain,THRSP
cnaPANCAN60,gain,TSKU
cnaPANCAN60,gain,USP35
cnaPANCAN60,gain,UVRAG
cnaPANCAN60,gain,WNT11
cnaPANCAN61,gain,C11orf73
cnaPANCAN61,gain,CCDC81
cnaPANCAN61,gain,CCDC83
cnaPANCAN61,gain,CCDC89
cnaPANCAN61,gain,CREBZF
cnaPANCAN61,gain,EED
cnaPANCAN61,gain,ME3
cnaPANCAN61,gain,PICALM
cnaPANCAN61,gain,SYTL2
cnaPANCAN62,loss,AP006621.5
cnaPANCAN62,loss,AP2A2
cnaPANCAN62,loss,ASCL2
cnaPANCAN62,loss,BRSK2
cnaPANCAN62,loss,C11orf21
cnaPANCAN62,loss,C11orf35
cnaPANCAN62,loss,C11orf89
cnaPANCAN62,loss,CARS
cnaPANCAN62,loss,CD151
cnaPANCAN62,loss,CD81
cnaPANCAN62,loss,CDHR5
cnaPANCAN62,loss,CDKN1C
cnaPANCAN62,loss,CEND1
cnaPANCAN62,loss,CHID1
cnaPANCAN62,loss,CTSD
cnaPANCAN62,loss,DEAF1
cnaPANCAN62,loss,DRD4
cnaPANCAN62,loss,DUSP8
cnaPANCAN62,loss,EFCAB4A
cnaPANCAN62,loss,EPS8L2
cnaPANCAN62,loss,HRAS
cnaPANCAN62,loss,IFITM10
cnaPANCAN62,loss,IGF2
cnaPANCAN62,loss,INS
cnaPANCAN62,loss,INS-IGF2
cnaPANCAN62,loss,IRF7
cnaPANCAN62,loss,KCNQ1
cnaPANCAN62,loss,KRTAP5-1
cnaPANCAN62,loss,KRTAP5-2
cnaPANCAN62,loss,KRTAP5-3
cnaPANCAN62,loss,KRTAP5-4
cnaPANCAN62,loss,KRTAP5-5
cnaPANCAN62,loss,KRTAP5-6
cnaPANCAN62,loss,LRRC56
cnaPANCAN62,loss,LSP1
cnaPANCAN62,loss,MOB2
cnaPANCAN62,loss,MRPL23
cnaPANCAN62,loss,MUC2
cnaPANCAN62,loss,MUC5AC
cnaPANCAN62,loss,MUC5B
cnaPANCAN62,loss,MUC6
cnaPANCAN62,loss,NAP1L4
cnaPANCAN62,loss,PDDC1
cnaPANCAN62,loss,PHLDA2
cnaPANCAN62,loss,PHRF1
cnaPANCAN62,loss,PIDD
cnaPANCAN62,loss,PNPLA2
cnaPANCAN62,loss,POLR2L
cnaPANCAN62,loss,PTDSS2
cnaPANCAN62,loss,RASSF7
cnaPANCAN62,loss,RNH1
cnaPANCAN62,loss,RP11-295K3.1
cnaPANCAN62,loss,RPLP2
cnaPANCAN62,loss,SCT
cnaPANCAN62,loss,SLC22A18
cnaPANCAN62,loss,SLC22A18AS
cnaPANCAN62,loss,SLC25A22
cnaPANCAN62,loss,SYT8
cnaPANCAN62,loss,TALDO1
cnaPANCAN62,loss,TH
cnaPANCAN62,loss,TMEM80
cnaPANCAN62,loss,TNNI2
cnaPANCAN62,loss,TNNT3
cnaPANCAN62,loss,TOLLIP
cnaPANCAN62,loss,TRPM5
cnaPANCAN62,loss,TSPAN32
cnaPANCAN62,loss,TSPAN4
cnaPANCAN62,loss,TSSC4
cnaPANCAN63,loss,OR52K2
cnaPANCAN64,loss,HBE1
cnaPANCAN64,loss,HBG2
cnaPANCAN65,loss,HBE1
cnaPANCAN65,loss,HBG2
cnaPANCAN66,loss,OLFML1
cnaPANCAN67,loss,SBF2
cnaPANCAN68,loss,C11orf58
cnaPANCAN68,loss,SOX6
cnaPANCAN69,loss,KCNJ11
cnaPANCAN70,loss,PAMR1
cnaPANCAN71,loss,ACCS
cnaPANCAN71,loss,ACCSL
cnaPANCAN71,loss,ACP2
cnaPANCAN71,loss,AGBL2
cnaPANCAN71,loss,ALKBH3
cnaPANCAN71,loss,ALX4
cnaPANCAN71,loss,AMBRA1
cnaPANCAN71,loss,API5
cnaPANCAN71,loss,ARFGAP2
cnaPANCAN71,loss,ARHGAP1
cnaPANCAN71,loss,ATG13
cnaPANCAN71,loss,C11orf49
cnaPANCAN71,loss,C11orf94
cnaPANCAN71,loss,C11orf96
cnaPANCAN71,loss,C1QTNF4
cnaPANCAN71,loss,CD82
cnaPANCAN71,loss,CELF1
cnaPANCAN71,loss,CHRM4
cnaPANCAN71,loss,CHST1
cnaPANCAN71,loss,CKAP5
cnaPANCAN71,loss,CREB3L1
cnaPANCAN71,loss,CRY2
cnaPANCAN71,loss,CTD-2210P24.4
cnaPANCAN71,loss,DGKZ
cnaPANCAN71,loss,EXT2
cnaPANCAN71,loss,F2
cnaPANCAN71,loss,FAM180B
cnaPANCAN71,loss,FNBP4
cnaPANCAN71,loss,FOLH1
cnaPANCAN71,loss,GYLTL1B
cnaPANCAN71,loss,HARBI1
cnaPANCAN71,loss,HSD17B12
cnaPANCAN71,loss,KBTBD4
cnaPANCAN71,loss,LRP4
cnaPANCAN71,loss,LRRC4C
cnaPANCAN71,loss,MADD
cnaPANCAN71,loss,MAPK8IP1
cnaPANCAN71,loss,MDK
cnaPANCAN71,loss,MTCH2
cnaPANCAN71,loss,MYBPC3
cnaPANCAN71,loss,NDUFS3
cnaPANCAN71,loss,NR1H3
cnaPANCAN71,loss,NUP160
cnaPANCAN71,loss,OR4A47
cnaPANCAN71,loss,OR4B1
cnaPANCAN71,loss,OR4C12
cnaPANCAN71,loss,OR4C13
cnaPANCAN71,loss,OR4C3
cnaPANCAN71,loss,OR4C5
cnaPANCAN71,loss,OR4S1
cnaPANCAN71,loss,OR4X1
cnaPANCAN71,loss,OR4X2
cnaPANCAN71,loss,PACSIN3
cnaPANCAN71,loss,PEX16
cnaPANCAN71,loss,PHF21A
cnaPANCAN71,loss,PRDM11
cnaPANCAN71,loss,PSMC3
cnaPANCAN71,loss,PTPMT1
cnaPANCAN71,loss,PTPRJ
cnaPANCAN71,loss,RAPSN
cnaPANCAN71,loss,SLC35C1
cnaPANCAN71,loss,SLC39A13
cnaPANCAN71,loss,SPI1
cnaPANCAN71,loss,SYT13
cnaPANCAN71,loss,TP53I11
cnaPANCAN71,loss,TRIM64C
cnaPANCAN71,loss,TSPAN18
cnaPANCAN71,loss,TTC17
cnaPANCAN71,loss,ZNF408
cnaPANCAN72,loss,INCENP
cnaPANCAN73,loss,TPCN2
cnaPANCAN74,loss,TENM4
cnaPANCAN75,loss,AMOTL1
cnaPANCAN75,loss,ANKRD49
cnaPANCAN75,loss,C11orf54
cnaPANCAN75,loss,C11orf73
cnaPANCAN75,loss,CCDC67
cnaPANCAN75,loss,CCDC81
cnaPANCAN75,loss,CCDC82
cnaPANCAN75,loss,CCDC83
cnaPANCAN75,loss,CCDC89
cnaPANCAN75,loss,CEP57
cnaPANCAN75,loss,CHORDC1
cnaPANCAN75,loss,CNTN5
cnaPANCAN75,loss,CREBZF
